model_name,display_name,duration_seconds,cv_mae_mean,cv_rmse_mean,best_params,selected,train_mae,train_rmse,train_mape,train_r2,validation_mae,validation_rmse,validation_mape,validation_r2,test_mae,test_rmse,test_mape,test_r2
random_forest,Случайный лес,4.591,15305.2,37047.18,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 180}",False,10345.32,19422.84,0.5051,0.9538,16288.24,43255.33,0.4319,0.7408,16155.32,42768.16,0.5009,0.7741
gradient_boosting,Градиентный бустинг,0.981,16915.05,37315.04,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 180}",False,9903.14,16245.22,0.4075,0.9677,16160.91,36354.0,0.3994,0.8169,14894.92,35060.06,0.3594,0.8482
ridge,Гребневая регрессия Ridge,0.568,16662.39,29533.48,"{""alpha"": 0.1}",True,8990.68,16342.05,0.205,0.9673,15472.76,25561.46,0.4719,0.9095,13825.62,22196.23,0.2691,0.9391
